symbol,spot_price,spot_price_chg_pct,total_traded_vol,delivery_vol_pct,futures_ltp,futures_price_chg_pct,futures_oi,futures_oi_prev,futures_oi_chg_pct,futures_buildup,pcr_ratio,imm_resistance_strike,imm_resistance_strength,imm_resistance_rating,imm_resistance_buildup,imm_support_strike,imm_support_strength,imm_support_rating,imm_support_buildup,global_ce_wall,global_pe_wall,max_pain,risk_flag_code,risk_alert_title,risk_description
HAL,4574.8,-0.15,976586,41.47%,4560.1,-0.65,4488450,4438500,1.13,Short Buildup,0.533,4600.0,90,STRONG,–,4550.0,72,MODERATE,–,4600.0,4400.0,4500.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 4550.0 – 4600.0.
HAVELLS,1207.1,-0.86,601548,57.72%,1211.0,-0.89,8933000,8933000,0.0,Flat,0.691,1210.0,65,MODERATE,–,1200.0,34,WEAK,–,1220.0,1160.0,1200.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1200.0 (WEAK) | Resistance at 1210.0 (MODERATE).
HCLTECH,1237.3,-0.18,2377718,65.13%,1234.0,-0.22,31224400,30889600,1.08,Short Buildup,0.64,1240.0,61,MODERATE,–,1230.0,48,WEAK,–,1300.0,1200.0,1180.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1230.0 (WEAK) | Resistance at 1240.0 (MODERATE).
HDFCAMC,2546,-1.36,852280,53.16%,2546.8,-1.29,5907000,5606100,5.37,Short Buildup,2.139,2550.0,44,WEAK,–,2546.0,90,STRONG,–,2700.0,2500.0,2660.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 2546.0 (STRONG) | Resistance at 2550.0 (WEAK).
HDFCBANK,753.15,-1.09,23385446,65.77%,754.4,-1.12,242888750,239511350,1.41,Short Buildup,0.699,755.0,71,MODERATE,–,750.0,67,MODERATE,–,800.0,750.0,780.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 750.0 (MODERATE) | Resistance at 755.0 (MODERATE).
HDFCLIFE,553.1,-1.41,1766190,50.47%,551.85,-1.59,40942000,40614200,0.81,Short Buildup,0.702,555.0,89,STRONG,–,550.0,70,MODERATE,–,580.0,510.0,570.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 550.0 (MODERATE) | Resistance at 555.0 (STRONG).
HEROMOTOCO,4987.1,-0.93,877166,45.41%,4908.9,-1.17,5211900,5131950,1.56,Short Buildup,0.472,5000.0,88,STRONG,–,4950.0,46,WEAK,–,5000.0,4900.0,4900.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 4950.0 (WEAK) | Resistance at 5000.0 (STRONG).
HINDALCO,950,-0.15,4055709,61.09%,951.25,-0.27,50815100,50466500,0.69,Short Buildup,0.545,960.0,80,STRONG,–,950.0,50,MODERATE,–,1000.0,950.0,960.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 950.0 (MODERATE) | Resistance at 960.0 (STRONG).
HINDCOPPER,489.25,-0.65,2800918,38.59%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
HINDPETRO,395.2,-2.89,4699577,50.24%,394.0,-3.16,39155400,37827000,3.51,Short Buildup,0.876,400.0,85,STRONG,–,395.0,60,MODERATE,–,400.0,380.0,400.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 395.0 – 400.0.
